date,nikkei225Close,buyThousandShares,sellThousandShares,marginRatioCombined,marginRatioSystem,evalPnlPct
2024-08-02,35909.7,8216242,878896,9.35,8.72,-13.69
2024-08-09,35025.0,6787480,836333,8.12,7.48,-14.16
2024-08-16,38062.67,6637263,1006763,6.59,5.9,-8.38
2024-08-23,38364.27,6764493,1056728,6.4,5.75,-8.47
2024-08-30,38647.75,6843641,970069,7.05,6.36,-7.21
2024-09-06,36391.47,6994266,953255,7.34,6.75,-11.19
2024-09-13,36581.76,7008761,985568,7.11,6.51,-11.35
2024-09-20,37723.91,6872599,1131809,6.07,5.48,-9.37
2024-09-27,39829.56,6760304,967310,6.99,6.02,-7.71
2024-10-04,38635.62,6901900,871580,7.92,6.88,-8.65
2024-10-11,39605.8,7018939,938488,7.48,6.33,-9.02
2024-10-18,38981.75,7118127,937902,7.59,6.58,-9.05
2024-10-25,37913.92,7169902,896655,8.0,6.91,-11.48
2024-11-01,38053.67,7210219,823086,8.76,7.88,-9.72
2024-11-08,39500.37,7015981,929571,7.55,6.66,-8.43
2024-11-15,38642.91,7112647,969869,7.33,6.53,-9.57
2024-11-22,38283.85,7310816,1007716,7.25,6.53,-8.66
2024-11-29,38208.03,7514946,1122689,6.69,5.98,-8.73
2024-12-06,39091.17,7367251,1067571,6.9,6.02,-8.73
2024-12-13,39470.44,7275687,1227999,5.92,5.16,-8.43
2024-12-20,38701.9,7375849,1144518,6.44,5.72,-8.86
2024-12-27,40281.16,6949040,1020071,6.81,5.84,-6.82
2025-01-10,39190.4,7331384,969632,7.56,6.61,-7.48
2025-01-17,38451.46,7468888,928977,8.04,7.17,-8.1
2025-01-24,39931.98,7208504,1085386,6.64,5.7,-7.14
2025-01-31,39572.49,7324445,1073518,6.82,6.02,-5.51
2025-02-07,38787.02,7616375,1101289,6.92,6.2,-5.77
2025-02-14,39149.43,7662211,1199624,6.39,5.65,-5.28
2025-02-21,38776.94,7778176,1275048,6.1,5.35,-6.2
2025-02-28,37155.5,7978369,981529,8.13,7.47,-7.69
2025-03-07,36887.17,7771417,1116237,6.96,6.3,-8.1
2025-03-14,37053.1,7692267,1294352,5.94,5.42,-7.23
2025-03-21,37677.06,7652976,1308041,5.85,5.28,-5.64
2025-03-28,37120.33,7841628,889632,8.81,7.94,-6.57
2025-04-04,33780.58,7656112,717409,10.67,9.63,-15.31
2025-04-11,33585.58,6797845,717970,9.47,8.6,-13.32
2025-04-18,34730.28,6804508,923105,7.37,6.63,-11.53
2025-04-25,35705.74,6753162,972171,6.95,6.01,-10.87
2025-05-02,36830.69,6723912,975420,6.89,5.99,-10.28
2025-05-09,37503.33,6667548,1039667,6.41,5.46,-9.36
2025-05-16,37753.72,6720029,1077687,6.24,5.24,-8.71
2025-05-23,37160.47,6849724,1143157,5.99,5.02,-9.47
2025-05-30,37965.1,6823636,1175047,5.81,4.87,-7.18
2025-06-06,37741.61,6970828,1191515,5.85,4.9,-8.0
2025-06-13,37834.25,7068884,1250432,5.65,4.8,-7.09
2025-06-20,38403.23,7105226,1297625,5.48,4.51,-7.82
2025-06-27,40150.79,6866509,1254988,5.47,4.38,-7.44
2025-07-04,39810.88,7007257,1225968,5.72,4.68,-8.44
2025-07-11,39569.68,7111780,1275946,5.57,4.65,-7.13
2025-07-18,39819.11,7168961,1288791,5.56,4.62,-7.79
2025-07-25,41456.23,6863946,1400859,4.9,4.0,-6.56
2025-08-01,40799.6,6897635,1367265,5.04,4.2,-6.25
2025-08-08,41820.48,6869792,1471604,4.67,3.88,-5.41
2025-08-15,43378.31,6722910,1582929,4.25,3.42,-5.48
2025-08-22,42633.29,7004531,1547721,4.53,3.77,-5.54
2025-08-29,42718.47,7287611,1374579,5.3,4.41,-5.9
2025-09-05,43018.75,7411004,1411303,5.25,4.42,-5.96
2025-09-12,44768.12,7343758,1581359,4.64,3.81,-5.29
2025-09-19,45045.81,7408269,1622009,4.57,3.73,-6.22
2025-09-26,45354.99,7392526,2221581,3.33,2.78,-6.68
2025-10-03,45769.5,7758471,1320864,5.87,4.6,-7.75
2025-10-10,48088.8,7913132,1324491,5.97,4.65,-7.88
2025-10-17,47582.15,8021545,1302652,6.16,4.9,-8.94
