date,debitBalances,freeCreditCash,leverageRatio,debitYoyPct,debitYoyPercentile
2021-08-01,911545,219365,4.16,41.21,
2021-09-01,903117,229279,3.94,38.02,
2021-10-01,935862,226159,4.14,41.95,
2021-11-01,918598,235638,3.9,27.21,
2021-12-01,910021,250435,3.63,16.96,
2022-01-01,829637,247752,3.35,3.89,
2022-02-01,835255,250686,3.33,2.65,
2022-03-01,799660,256076,3.12,-2.78,
2022-04-01,772940,242724,3.18,-8.76,
2022-05-01,752944,244857,3.08,-12.61,
2022-06-01,683445,249399,2.74,-22.52,
2022-07-01,696781,232147,3.0,-17.47,
2022-08-01,687787,226182,3.04,-24.55,
2022-09-01,664009,223400,2.97,-26.48,
2022-10-01,649618,216057,3.01,-30.59,
2022-11-01,643783,205158,3.14,-29.92,
2022-12-01,606659,205902,2.95,-33.34,
2023-01-01,641228,208720,3.07,-22.71,
2023-02-01,624379,198644,3.14,-25.25,
2023-03-01,645429,191618,3.37,-19.29,
2023-04-01,631949,175460,3.6,-18.24,
2023-05-01,644170,178576,3.61,-14.45,
2023-06-01,681228,181569,3.75,-0.32,
2023-07-01,709834,174804,4.06,1.87,
2023-08-01,689185,177711,3.88,0.2,
2023-09-01,680846,153918,4.42,2.54,
2023-10-01,635276,162865,3.9,-2.21,
2023-11-01,660887,171207,3.86,2.66,
2023-12-01,700774,161639,4.34,15.51,
2024-01-01,701975,165025,4.25,9.47,
2024-02-01,742963,166144,4.47,18.99,
2024-03-01,784136,166990,4.7,21.49,
2024-04-01,775464,161749,4.79,22.71,
2024-05-01,809431,155256,5.21,25.65,
2024-06-01,809322,157240,5.15,18.8,
2024-07-01,810835,154951,5.23,14.23,
2024-08-01,797162,148702,5.36,15.67,
2024-09-01,813211,167901,4.84,19.44,
2024-10-01,815369,173621,4.7,28.35,
2024-11-01,890852,170052,5.24,34.8,
2024-12-01,899168,181280,4.96,28.31,
2025-01-01,937253,178301,5.26,33.52,
2025-02-01,918144,183278,5.01,23.58,
2025-03-01,880316,189855,4.64,12.27,
2025-04-01,850558,187958,4.53,9.68,
2025-05-01,920960,187685,4.91,13.78,
2025-06-01,1007961,200573,5.03,24.54,
2025-07-01,1022548,194712,5.25,26.11,
2025-08-01,1059723,188221,5.63,32.94,
2025-09-01,1126494,204106,5.52,38.52,
2025-10-01,1183654,197923,5.98,45.17,
2025-11-01,1214321,202131,6.01,36.31,
2025-12-01,1225597,211720,5.79,36.3,
2026-01-01,1279042,203700,6.28,36.47,
2026-02-01,1253192,205060,6.11,36.49,
2026-03-01,1220922,221860,5.5,38.69,
2026-04-01,1304281,217836,5.99,53.34,
2026-05-01,1415557,206600,6.85,53.7,
2026-06-01,1502072,217441,6.91,49.02,
2026-07-01,1417225,205132,6.91,38.6,90.1
